2026-07-18 16:00:38.846 [main] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [bookstore.config.AppConfig]
2026-07-18 16:01:45.945 [main] INFO  bookstore.controller.BookStoreController - BookStoreController создан Spring-контейнером
2026-07-18 16:01:46.097 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: bookstorePU]
2026-07-18 16:01:46.204 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.0.Final
2026-07-18 16:01:46.268 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-07-18 16:01:46.562 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
2026-07-18 16:01:46.568 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: Loaded JDBC driver class: org.postgresql.Driver
2026-07-18 16:01:46.568 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001012: Connecting with JDBC URL [jdbc:postgresql://localhost:5432/postgres]
2026-07-18 16:01:46.568 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {password=****, user=postgres}
2026-07-18 16:01:46.568 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2026-07-18 16:01:46.572 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001115: Connection pool size: 10 (min=1)
2026-07-18 16:01:46.884 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-07-18 16:01:48.340 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-07-18 16:01:48.363 [main] INFO  org.hibernate.orm.connections.access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@563843f1] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2026-07-18 16:01:48.417 [main] INFO  bookstore.utils.JpaUtil - EntityManagerFactory успешно создан
2026-07-18 16:01:49.466 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/postgres (PostgreSQL 15.18)
2026-07-18 16:01:49.555 [main] INFO  org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory - Schema history table "public"."flyway_schema_history" does not exist yet
2026-07-18 16:01:49.560 [main] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.058s)
2026-07-18 16:01:49.596 [main] INFO  org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory - Creating Schema History table "public"."flyway_schema_history" with baseline ...
2026-07-18 16:01:49.747 [main] INFO  org.flywaydb.core.internal.command.DbBaseline - Successfully baselined schema with version: 1
2026-07-18 16:01:49.821 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema "public": 1
2026-07-18 16:01:49.838 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "public" to version "2 - add price index"
2026-07-18 16:01:49.852 [main] WARN  org.flywaydb.core.internal.sqlscript.DefaultSqlScriptExecutor - DB: отношение "idx_orders_order_date" уже существует, пропускается (SQL State: 42P07 - Error Code: 0)
2026-07-18 16:01:49.877 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "public" to version "3 - add book description index"
2026-07-18 16:01:50.050 [main] INFO  org.flywaydb.core.internal.sqlscript.DefaultSqlScriptExecutor - DB: триггер "update_books_updated_at" для отношения "books" не существует, пропускается
2026-07-18 16:01:50.069 [main] INFO  org.flywaydb.core.internal.sqlscript.DefaultSqlScriptExecutor - DB: триггер "update_orders_updated_at" для отношения "orders" не существует, пропускается
2026-07-18 16:01:50.069 [main] INFO  org.flywaydb.core.internal.sqlscript.DefaultSqlScriptExecutor - DB: триггер "update_requests_updated_at" для отношения "requests" не существует, пропускается
2026-07-18 16:01:50.080 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Successfully applied 2 migrations to schema "public", now at version v3 (execution time 00:00.219s)
